,movie_title,num_critic_for_reviews,duration,DIRECTOR_facebook_likes,actor_3_facebook_likes,ACTOR_1_facebook_likes,gross,num_voted_users,Cast_Total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,ACTOR_2_facebook_likes,imdb_score,title_year.1
0,Avatar,723,178.0,10.0,855,1000,760505847,886204.0,4834.0,418.5,3054,237000000,2009,936.0,7.9,2009
1,Pirates of the Caribbean: At World's End,302,418.5,563.0,1000,40000,309404152,471220.0,48350.0,418.5,1238,300000000,2007,5000.0,7.1,2015
2,Spectre,602,148.0,20.0,161,11000,200074175,275868.0,11700.0,1.0,994,245000000,2015,393.0,6.8,2015
3,The Dark Knight Rises,813,418.5,22000.0,23000,27000,448130642,1144337.0,106759.0,418.5,2701,250000000,2012,23000.0,8.5,2007
4,John Carter,462,132.0,418.5,530,640,73058679,212204.0,1873.0,1.0,738,263700000,2012,632.0,6.6,2007
5,Spider-Man 3,392,156.0,23.0,4000,24000,336530303,383056.0,46055.0,418.5,1902,258000000,2007,11000.0,6.2,2007
6,Tangled,324,418.5,15.0,284,799,200807262,294810.0,418.5,1.0,387,260000000,2010,553.0,7.8,2016
7,Harry Potter and the Half-Blood Prince,375,153.0,282.0,10000,25000,301956980,321795.0,58753.0,3.0,973,250000000,2009,11000.0,7.5,2016
8,Batman v Superman: Dawn of Justice,673,183.0,418.5,2000,15000,330249062,418.5,24450.0,418.5,3018,250000000,2016,418.5,6.9,2016
9,Superman Returns,434,169.0,418.5,903,18000,200069408,240396.0,418.5,2.0,2367,209000000,2006,10000.0,6.1,2008
10,Quantum of Solace,403,106.0,395.0,393,451,168368427,330784.0,2023.0,1.0,1243,200000000,2008,412.0,6.7,2008
11,Pirates of the Caribbean: Dead Man's Chest,313,151.0,563.0,1000,40000,423032628,522040.0,48486.0,2.0,1832,225000000,2006,5000.0,7.3,2008
